RECPTCL_FID;MAILITM_FID;EVENT_TYPE_NM;date;établissement_postal;EVENT_TYPE_CD;next_établissement_postal
USORDADZALGDAUN30050001900005;0000420016941;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-04 05:00:00.000;;12;ALGéRIE
USORDADZALGDAUN30050001900005;0000689914049;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-04 05:00:00.000;;12;ALGéRIE
USORDADZALGDAUN30050001900005;0000700051000;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-04 05:00:00.000;;12;ALGéRIE
USORDADZALGDAUN30102003900026;0031069949200;Expédition d'envoi é l'étranger (EDI-reéu);2023-12-04 05:00:00.000;;12;ALGéRIE
FRCDGADZALGDAUN40553006010061;1A02349441537;Expédition d'envoi é l'étranger (EDI-reéu);2024-12-19 11:05:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32487005010095;1A09158628029;Expédition d'envoi é l'étranger (EDI-reéu);2023-12-01 07:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32105001010038;1A09165695052;Expédition d'envoi é l'étranger (EDI-reéu);2023-03-18 08:55:00.000;;12;ALGéRIE
FRCDGADZALGDAUN40272001010036;1A10720195245;Expédition d'envoi é l'étranger (EDI-reéu);2024-06-23 08:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32073001000051;1A12468884825;Expédition d'envoi é l'étranger (EDI-reéu);2023-02-23 08:55:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32253004010019;1A15581857998;Expédition d'envoi é l'étranger (EDI-reéu);2023-06-21 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32404001010069;1A15636417276;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-07 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32371002010056;1A16738474761;Expédition d'envoi é l'étranger (EDI-reéu);2023-09-13 16:05:00.000;;12;ALGéRIE
FRONEADZALGDAUN50027013010026;1A16836314280;Expédition d'envoi é l'étranger (EDI-reéu);2025-01-16 11:05:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32308001010032;1A16964233316;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-28 12:15:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32278001010108;1A17455860097;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-07 12:15:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32143008010055;1A17486504533;Expédition d'envoi é l'étranger (EDI-reéu);2023-04-12 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32266001010024;1A18731266534;Expédition d'envoi é l'étranger (EDI-reéu);2023-06-29 12:15:00.000;;12;ALGéRIE
FRCDGADZALGDAUN40273002010069;1A18834161743;Expédition d'envoi é l'étranger (EDI-reéu);2024-06-25 08:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUD40020001010065;1A19281042142;Expédition d'envoi é l'étranger (EDI-reéu);2024-07-25 15:30:00.000;;12;ALGéRIE
FRCDGADZALGDAUD40034001010043;1A19281042142;Expédition d'envoi é l'étranger (EDI-reéu);2024-09-18 15:30:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32308006010089;1A19283041433;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-28 12:15:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32407007010079;1A19291785206;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-10 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32407007010079;1A19299125776;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-10 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32359001010116;1A19302682272;Expédition d'envoi é l'étranger (EDI-reéu);2023-09-06 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32409001010065;1A19305299293;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-11 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32473004010071;1A19305299293;Expédition d'envoi é l'étranger (EDI-reéu);2023-11-22 07:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32404001010069;1A19305899318;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-07 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32407007010079;1A19306038099;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-10 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32446001010042;1A19307374639;Expédition d'envoi é l'étranger (EDI-reéu);2023-11-02 11:15:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32433005110036;1A19309837286;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-25 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32425003010131;1A19316049825;Expédition d'envoi é l'étranger (EDI-reéu);2023-10-20 05:45:00.000;;12;ALGéRIE
FRCDGADZALGDAUN32278001010108;1A19402574026;Expédition d'envoi é l'étranger (EDI-reéu);2023-07-07 12:15:00.000;;12;ALGéRIE
