ECPTCL_FID;EVENT_TYPE_NM;date;établissement_postal;EVENT_TYPE_CD;next_établissement_postal
AEtfXBADZAAEDACN45001001100219;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-07-24 22:40:00.000;ÉMIRATS ARABES UNIS;109;ALGÉRIE
AEtfXBADZAAEDACN45001001100219;Réception de récipient de l'étranger (Ent);2024-07-26 16:18:37.623;AEROPOSTAL HOUARI BOUMEDIENE;132;
AEDXBADZAAEDACN45057006100113;Expédition de récipient à une adresse nationale (Ent);2024-11-07 07:57:36.377;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45058001000141;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-05 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45058001000141;Réception de récipient de l'étranger (Ent);2024-11-11 08:35:08.747;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45058001000141;Expédition de récipient à une adresse nationale (Ent);2024-11-11 08:38:57.137;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45058001000141;Expédition de récipient à une adresse nationale (Ent);2024-11-12 07:23:07.423;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45058002000155;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-05 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45058002000155;Réception de récipient de l'étranger (Ent);2024-11-06 10:09:57.047;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45058002000155;Expédition de récipient à une adresse nationale (Ent);2024-11-06 10:15:48.930;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45058002000155;Expédition de récipient à une adresse nationale (Ent);2024-11-07 07:57:11.430;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45058003000175;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-05 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45058003000175;Réception de récipient de l'étranger (Ent);2024-11-11 09:56:37.310;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45058003000175;Expédition de récipient à une adresse nationale (Ent);2024-11-11 10:00:02.293;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45058003000175;Expédition de récipient à une adresse nationale (Ent);2024-11-12 07:23:02.150;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
